// Compost colors for betterfurnacesreforged. You may add your own colors, change existing ones, or remove colors that aren't needed.
advanced_fuel_efficiency_upgrade, #4a9a98
advanced_ore_processing_upgrade, #c8ffff
amethyst_diamond_upgrade, #58e3f8
amethyst_upgrade, #a87fbb
autoinput_upgrade, #ffff7c
autooutput_upgrade, #ffffff
blasting_upgrade, #cccccc
color_upgrade, #feeb8d
copper_iron_upgrade, #f0dcd4
copper_upgrade, #be6f54
diamond_upgrade, #73ffe0
energy_upgrade, #ffae84
extreme_upgrade, #684343
factory_upgrade, #97ffff
fuel_efficiency_upgrade, #202a2a
generator_upgrade, #ffe6bc
gold_upgrade, #fffe66
iron_upgrade, #e1e1e1
liquid_fuel_upgrade, #b2b9bb
netherhot_upgrade, #d65252
ore_processing_upgrade, #dadada
piping_upgrade, #ffffff
platinum_netherhot_upgrade, #fc585b
platinum_upgrade, #bcf0ff
raw_ore_processing_upgrade, #a7907c
redstone_signal_upgrade, #d38d87
smoking_upgrade, #ffeb43
steel_gold_upgrade, #f8d740
steel_upgrade, #7f7f7f
storage_upgrade, #c3c2ae
ultimate_ore_processing_upgrade, #9e98a5
ultimate_upgrade, #231932
xp_tank_upgrade, #fcffff
